id,lat,lon
29133,48.690851,-3.649157
29134,48.09864,-4.20724
29135,47.83217,-4.17426
29136,47.936911,-3.478203
29137,48.321264,-4.299144
29139,48.276973,-4.047912
29140,48.375283,-4.306355
29141,48.319513,-3.85847
29142,48.182474,-4.027781
29143,48.034328,-4.436168
29144,48.44843,-4.158988
29145,48.050822,-4.427236
29146,47.906171,-3.834574
29147,47.903754,-3.576349
29148,48.618285,-4.024569
29150,47.815199,-3.628953
29151,48.57766,-3.82837
29152,48.202078,-3.55466
29153,47.81883,-3.79327
29155,48.455356,-5.097373
29156,48.43775,-4.23522
29158,47.812558,-4.337368
29159,47.94054,-4.30962
29160,48.502265,-4.424026
29161,47.907192,-4.043314
29162,48.22604,-3.96926
29163,48.50467,-3.87532
29165,47.823815,-4.228728
29166,48.15718,-4.232497
29167,47.982105,-4.269845
29168,48.15718,-4.232497
29169,48.077907,-4.191519
29170,47.93474,-4.1529
29171,47.841447,-4.283015
29172,48.180417,-4.23194
29173,48.015935,-4.207804
29174,47.90322,-4.28573
29175,48.252337,-3.824718
29176,48.125705,-4.222001
29177,48.43332,-4.73254
29178,48.540318,-4.657575
29179,48.536704,-4.313196
29180,48.453252,-4.142772
29181,48.484358,-4.245855
29182,48.621006,-3.674934
29183,48.57227,-3.60965
29184,48.628341,-3.992316
29185,48.657392,-4.174019
29186,48.639639,-3.821871
29187,48.561905,-4.142167
29188,48.695353,-3.790208
29189,48.373702,-4.3697883
29190,48.340626,-4.718207
29191,48.520678,-3.712243
29192,48.666902,-4.043901
29193,48.553587,-4.084862
29195,48.606344,-4.504631
29196,48.525287,-4.599142
29197,48.014507,-4.487307
29198,48.6086006165,-4.29853010178
29199,48.567618,-3.701582
29201,48.403466,-4.722167
29202,48.439008,-3.89131
29204,48.515597,-4.212538
29205,48.298292,-3.589708
29206,48.61694,-4.21268
29207,48.53513,-3.79056
29208,48.50941,-4.68697
29209,48.529895,-4.451344
29210,48.57957,-4.03777
29211,48.314093,-3.735654
29212,48.38022,-4.601237
29213,48.596205,-4.113181
29214,47.915928,-4.361306
29215,47.987772,-4.425438
29216,47.979423,-4.177493
29217,47.855162,-3.744628
29218,48.04099,-4.486162
29220,47.86667,-4.22226
29221,48.508624,-4.765819
29222,48.2152303,-4.0732745
29224,48.042835,-4.326221
29225,47.953685,-4.35753
29226,48.080809,-4.415605
29227,48.340028,-3.642694
29228,48.025378,-4.610614
29229,48.115982,-4.120124
29230,47.959403,-3.536545
29232,47.996194,-4.102035
29233,47.873634,-3.551328
29234,47.8601812,-3.4609375
29235,48.407664,-4.396364
29236,47.842777,-3.69346
29237,48.472363,-4.20336
29238,48.315038,-4.546989
29239,48.7263,-3.98543
29240,48.263587,-4.195158
29241,47.959354,-3.82756
29243,48.190696,-4.05972
29244,48.190696,-4.05972
29245,48.45393,-4.33529
29246,48.361973,-4.123
29247,47.936705,-4.022946
29248,48.602056,-4.367311
29249,48.16246,-3.7841
29250,48.217514,-3.636032
29251,48.694343,-3.772466
29252,47.865789,-4.28083
29254,48.575395,-3.843991
29255,48.56071,-4.265377
29256,48.202284,-4.28188
29257,48.565596,-4.601586
29259,48.68557,-3.98627
29260,48.433515,-4.621822
29261,48.349034,-3.996549
29262,48.447711,-4.003273
29263,48.24007,-4.06529
29264,48.511009,-4.154655
29265,48.558005,-3.876257
29266,48.520815,-3.946546
29267,48.164469,-3.885277
29268,48.478309,-4.336342
29269,47.959392,-3.623777
29270,48.400295,-4.227834
29271,48.59383,-4.137964
29272,47.967259,-3.937092
29273,48.703104,-4.029088
29274,48.026754,-3.70187
29275,48.433351,-3.678359
29276,48.66499,-4.06384
29277,48.40554,-4.079034
29278,48.19255,-3.71656
29279,48.603589,-3.900055
29280,48.231223,-4.35482
29281,48.025157,-3.825329
29282,48.3706,-4.73514
29284,48.025157,-3.825329
29285,48.627628,-4.096488
29286,48.415098,-4.171026
29287,48.622859,-4.261307
29288,48.551989,-4.296912
29289,48.251272,-4.225444
29290,48.550459,-4.539448
29291,48.10496,-3.86201
29292,47.89227,-4.33157
29293,47.85488,-3.85247
29294,48.393944,-4.131407
29295,48.504602,-4.254874
29296,47.906237,-4.211624
